2020-08-15 11:25:36 status half-installed libgbm1:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:25:38 status unpacked libgbm1:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:25:38 install libglapi-mesa:armhf <none> 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:25:38 status half-installed libglapi-mesa:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:25:38 status unpacked libglapi-mesa:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:25:38 install libwayland-client0:armhf <none> 1.16.0-1
2020-08-15 11:25:38 status half-installed libwayland-client0:armhf 1.16.0-1
2020-08-15 11:25:38 status unpacked libwayland-client0:armhf 1.16.0-1
2020-08-15 11:25:40 install libx11-xcb1:armhf <none> 2:1.6.7-1
2020-08-15 11:25:40 status half-installed libx11-xcb1:armhf 2:1.6.7-1
2020-08-15 11:25:40 status unpacked libx11-xcb1:armhf 2:1.6.7-1
2020-08-15 11:25:40 install libxcb-dri2-0:armhf <none> 1.13.1-2
2020-08-15 11:25:40 status half-installed libxcb-dri2-0:armhf 1.13.1-2
2020-08-15 11:25:40 status unpacked libxcb-dri2-0:armhf 1.13.1-2
2020-08-15 11:25:40 install libxcb-dri3-0:armhf <none> 1.13.1-2
2020-08-15 11:25:40 status half-installed libxcb-dri3-0:armhf 1.13.1-2
2020-08-15 11:25:40 status unpacked libxcb-dri3-0:armhf 1.13.1-2
2020-08-15 11:25:41 install libxcb-present0:armhf <none> 1.13.1-2
2020-08-15 11:25:41 status half-installed libxcb-present0:armhf 1.13.1-2
2020-08-15 11:25:41 status unpacked libxcb-present0:armhf 1.13.1-2
2020-08-15 11:25:42 install libxcb-sync1:armhf <none> 1.13.1-2
2020-08-15 11:25:42 status half-installed libxcb-sync1:armhf 1.13.1-2
2020-08-15 11:25:42 status unpacked libxcb-sync1:armhf 1.13.1-2
2020-08-15 11:25:42 install libxcb-xfixes0:armhf <none> 1.13.1-2
2020-08-15 11:25:42 status half-installed libxcb-xfixes0:armhf 1.13.1-2
2020-08-15 11:25:42 status unpacked libxcb-xfixes0:armhf 1.13.1-2
2020-08-15 11:25:43 install libxshmfence1:armhf <none> 1.3-1
2020-08-15 11:25:43 status half-installed libxshmfence1:armhf 1.3-1
2020-08-15 11:25:43 status unpacked libxshmfence1:armhf 1.3-1
2020-08-15 11:25:43 install libegl-mesa0:armhf <none> 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:25:43 status half-installed libegl-mesa0:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:25:44 status unpacked libegl-mesa0:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:25:44 install libegl1:armhf <none> 1.3.0-7~bpo10+1
2020-08-15 11:25:44 status half-installed libegl1:armhf 1.3.0-7~bpo10+1
2020-08-15 11:25:44 status unpacked libegl1:armhf 1.3.0-7~bpo10+1
2020-08-15 11:25:44 install libxcb-glx0:armhf <none> 1.13.1-2
2020-08-15 11:25:44 status half-installed libxcb-glx0:armhf 1.13.1-2
2020-08-15 11:25:44 status unpacked libxcb-glx0:armhf 1.13.1-2
2020-08-15 11:25:44 install libxdamage1:armhf <none> 1:1.1.4-3+b3
2020-08-15 11:25:44 status half-installed libxdamage1:armhf 1:1.1.4-3+b3
2020-08-15 11:25:44 status unpacked libxdamage1:armhf 1:1.1.4-3+b3
2020-08-15 11:25:44 install libxxf86vm1:armhf <none> 1:1.1.4-1+b2
2020-08-15 11:25:44 status half-installed libxxf86vm1:armhf 1:1.1.4-1+b2
2020-08-15 11:25:45 status unpacked libxxf86vm1:armhf 1:1.1.4-1+b2
2020-08-15 11:25:45 install libdrm-amdgpu1:armhf <none> 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:45 status half-installed libdrm-amdgpu1:armhf 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:45 status unpacked libdrm-amdgpu1:armhf 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:46 install libdrm-nouveau2:armhf <none> 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:46 status half-installed libdrm-nouveau2:armhf 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:46 status unpacked libdrm-nouveau2:armhf 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:46 install libdrm-radeon1:armhf <none> 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:46 status half-installed libdrm-radeon1:armhf 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:46 status unpacked libdrm-radeon1:armhf 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:25:46 install libllvm9:armhf <none> 1:9.0.1-6+rpi1~bpo10+1
2020-08-15 11:25:46 status half-installed libllvm9:armhf 1:9.0.1-6+rpi1~bpo10+1
2020-08-15 11:26:05 status unpacked libllvm9:armhf 1:9.0.1-6+rpi1~bpo10+1
2020-08-15 11:26:05 install libgl1-mesa-dri:armhf <none> 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:26:05 status half-installed libgl1-mesa-dri:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:26:11 status unpacked libgl1-mesa-dri:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:26:11 install libglx-mesa0:armhf <none> 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:26:11 status half-installed libglx-mesa0:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:26:13 status unpacked libglx-mesa0:armhf 19.3.2-1~bpo10+1~rpt1
2020-08-15 11:26:13 install libglx0:armhf <none> 1.3.0-7~bpo10+1
2020-08-15 11:26:13 status half-installed libglx0:armhf 1.3.0-7~bpo10+1
2020-08-15 11:26:13 status unpacked libglx0:armhf 1.3.0-7~bpo10+1
2020-08-15 11:26:13 install libgl1:armhf <none> 1.3.0-7~bpo10+1
2020-08-15 11:26:13 status half-installed libgl1:armhf 1.3.0-7~bpo10+1
2020-08-15 11:26:15 status unpacked libgl1:armhf 1.3.0-7~bpo10+1
2020-08-15 11:26:18 install libgles2:armhf <none> 1.3.0-7~bpo10+1
2020-08-15 11:26:18 status half-installed libgles2:armhf 1.3.0-7~bpo10+1
2020-08-15 11:26:18 status unpacked libgles2:armhf 1.3.0-7~bpo10+1
2020-08-15 11:26:19 install libdirectfb-1.7-7:armhf <none> 1.7.7-9
2020-08-15 11:26:19 status half-installed libdirectfb-1.7-7:armhf 1.7.7-9
2020-08-15 11:26:20 status unpacked libdirectfb-1.7-7:armhf 1.7.7-9
2020-08-15 11:26:20 install libdv4:armhf <none> 1.0.0-12
2020-08-15 11:26:20 status half-installed libdv4:armhf 1.0.0-12
2020-08-15 11:26:20 status unpacked libdv4:armhf 1.0.0-12
2020-08-15 11:26:20 install libdvdread4:armhf <none> 6.0.1-1
2020-08-15 11:26:20 status half-installed libdvdread4:armhf 6.0.1-1
2020-08-15 11:26:21 status unpacked libdvdread4:armhf 6.0.1-1
2020-08-15 11:26:21 install libdvdnav4:armhf <none> 6.0.0-1
2020-08-15 11:26:21 status half-installed libdvdnav4:armhf 6.0.0-1
2020-08-15 11:26:21 status unpacked libdvdnav4:armhf 6.0.0-1
2020-08-15 11:26:22 install libenca0:armhf <none> 1.19-1
2020-08-15 11:26:22 status half-installed libenca0:armhf 1.19-1
2020-08-15 11:26:22 status unpacked libenca0:armhf 1.19-1
2020-08-15 11:26:22 install libfaad2:armhf <none> 2.8.8-3
2020-08-15 11:26:22 status half-installed libfaad2:armhf 2.8.8-3
2020-08-15 11:26:22 status unpacked libfaad2:armhf 2.8.8-3
2020-08-15 11:26:22 install libflac8:armhf <none> 1.3.2-3
2020-08-15 11:26:22 status half-installed libflac8:armhf 1.3.2-3
2020-08-15 11:26:22 status unpacked libflac8:armhf 1.3.2-3
